source_x,title,doi,license,abstract,publish_time,journal,url,volume,issue,start_page,end_page,id
DP FAMNIT,Configurations from a Graphical Viewpoint,NA,CC BY 4.0,NA,2012-06-15,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/342,5,2,NA,NA,149
DP FAMNIT,Symmetric graphicahedra,10.26493/1855-3974.203.7ba,CC BY 4.0,"Given a connected graph G with p vertices and q edges, the G-graphicahedron is a vertex-transitive simple abstract polytope of rank q whose edge-graph is isomorphic to a Cayley graph of the symmetric group Sp associated with G. The paper explores combinatorial symmetry properties of G-graphicahedra, focussing in particular on transitivity properties of their automorphism groups. We present a detailed analysis of the graphicahedra for the q-star graphs K1, q and the q-cycles Cq. The Cq-graphicahedron is intimately related to the geometry of the infinite Euclidean Coxeter group Ãq − 1 and can be viewed as an edge-transitive tessellation of the (q − 1)-torus by (q − 1)-dimensional permutahedra, obtained as a quotient, modulo the root lattice Aq − 1, of the Voronoi tiling for the dual root lattice Aq − 1 *  in Euclidean (q − 1)-space.",2012-06-18,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/203,5,2,383,405,150
DP FAMNIT,Computers in Scientific Discovery 6 (CSD6),NA,CC BY 4.0,NA,2012-06-26,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/345,5,2,NA,NA,151
DP FAMNIT,"2-Groups that factorise as products of cyclic groups, and regular embeddings of complete bipartite graphs",10.26493/1855-3974.295.270,CC BY 4.0,"We classify those 2-groups G which factorise as a product of two disjoint cyclic subgroups A and B, transposed by an automorphism of order 2. The case where G is metacyclic having been dealt with elsewhere, we show that for each e ≥ 3 there are exactly three such non-metacyclic groups G with ∣A∣ = ∣B∣ = 2e, and for e = 2 there is one. These groups appear in a classification by Berkovich and Janko of 2-groups with one non-metacyclic maximal subgroup; we enumerate these groups, give simpler presentations for them, and determine their automorphism groups.",2012-06-29,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/295,6,1,155,170,152
DP FAMNIT,Sharp spectral inequalities for connected bipartite graphs with maximal Q-index,10.26493/1855-3974.271.85e,CC BY 4.0,"The Q-index of a simple graph is the largest eigenvalue of its signless Laplacian. As for the adjacency spectrum, we will show that in the set of connected bipartite graphs with fixed order and size, the bipartite graphs with maximal Q-index are the double nested graphs. We provide a sequence of (in)equalities regarding the principal eigenvector of the signless Laplacian of double nested graphs and apply these results to obtain some lower and upper bounds for their Q-index. In the end, we give some computational results in order to compare these bounds.",2012-07-02,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/271,6,1,171,185,153
DP FAMNIT,The excluded minor structure theorem with planarly embedded wall,10.26493/1855-3974.118.3dd,CC BY 4.0,"A graph is “nearly embedded” in a surface if it consists of graph G0 that is embedded in the surface, together with a bounded number of vortices having no large transactions. It is shown that every large wall (or grid minor) in a nearly embedded graph, many rows of which intersect the embedded subgraph G0 of the near-embedding, contains a large subwall that is planarly embedded within G0. This result provides some hidden details needed for a strong version of the Robertson and Seymour’s excluded minor theorem as presented in:

T. Böhme, K. Kawarabayashi, J. Maharry and B. Mohar, Linear connectivity forces large complete bipartite minors, J. Combin. Theory, Ser. B 99 (2009), 557–582.",2012-07-11,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/118,6,2,187,196,154
DP FAMNIT,Maximum independent sets of the 120-cell and other regular polytopes,10.26493/1855-3974.170.fd8,CC BY 4.0,"A d-code in a graph is a set of vertices such that all pairwise distances are at least d. As part of a study of d-codes of three-and four-dimensional regular polytopes, the maximum independent set order of the 120-cell is calculated. A linear program based on counting arguments leads to an upper bound of 221. An independent set of order 110 in the antipodal collapse of the 120-cell (also known as the hemi-120-cell) gives a lower bound of 220 for the 120-cell itself. The gap is closed by the computation described here, with the result that the maximum independent set order of the 120-cell is 220. All maximum d-code orders of the icosahedron, dodecahedron, 24-cell, 600-cell and 120-cell are reported.",2012-07-11,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/170,6,2,197,210,155
DP FAMNIT,Open access strategy: Either–or,NA,CC BY 4.0,NA,2012-07-30,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/360,5,2,NA,NA,156
DP FAMNIT,SIGMAP 2010 photos,NA,CC BY 4.0,NA,2012-08-12,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/363,5,2,NA,NA,157
DP FAMNIT,A parallel algorithm for computing the critical independence number and related sets,10.26493/1855-3974.165.b8b,CC BY 4.0,"An independent set Ic is a critical independent set if ∣Ic∣ − ∣N(Ic)∣ ≥ ∣J∣ − ∣N(J)∣, for any independent set J. The critical independence number of a graph is the cardinality of a maximum critical independent set. This number is a lower bound for the independence number and can be computed in polynomial-time. The existing algorithm runs in O(n2. 5 √(m/log n)) time for a graph G with n = ∣V(G)∣ vertices and m edges. It is demonstrated here that there is a parallel algorithm using n processors that runs in O(n1. 5 √(m/log n)) time. The new algorithm returns the union of all maximum critical independent sets. The graph induced on this set is a König-Egerváry graph whose components are either isolated vertices or which have perfect matchings.",2012-09-06,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/165,6,2,237,245,158
